"id";"name";"abbreviated_name";"is_abbreviated";"position";"is_department";"year";"ministry";"person_id"
8405;"Wilhelm Thellemann";"W. Thellemann";FALSE;"fuldmægtig";TRUE;1873;"finansministeriet";351
8403;"Frederik Vilhelm Lange";"F. V. Lange";FALSE;"fuldmægtig";TRUE;1873;"finansministeriet";312
8381;"Oluf Carl Sigismund Schmidt";"O. C. S. Schmidt";FALSE;"kontorchef";FALSE;1873;"finansministeriet";256
8384;"Carl Christian Frederik Vilhelm Wesenberg";"C. C. F. V. Wesenberg";FALSE;"fuldmægtig";FALSE;1873;"finansministeriet";262
8385;"H. P. Kofoed";"H. P. Kofoed";TRUE;"kontorchef";FALSE;1873;"finansministeriet";263
8386;"Simon Carl Spcerck";"S. C. Spcerck";FALSE;"fuldmægtig";FALSE;1873;"finansministeriet";288
8387;"Valdemar Jacob Emil Schoubye";"V. J. E. Schoubye";FALSE;"kontorchef";FALSE;1873;"finansministeriet";259
8388;"P. T. I. Benzon-Buchwald";"P. T. I. Benzon-Buchwald";TRUE;"departementschef";FALSE;1873;"finansministeriet";267
8389;"Eggert Constans Greve Knuth";"E. C. G. Knuth";FALSE;"fuldmægtig";TRUE;1873;"finansministeriet";230
8390;"Niels Christian Koefoed";"N. C. Koefoed";FALSE;"fuldmægtig";TRUE;1873;"finansministeriet";227
8391;"Otto Georg Vilhelm Müller";"O. G. V. Müller";FALSE;"kontorchef";TRUE;1873;"finansministeriet";271
8392;"Arel Harald Balduin Andersen";"A. H. B. Andersen";FALSE;"fuldmægtig";TRUE;1873;"finansministeriet";348
8393;"Peter Alto Olesen";"P. A. Olesen";FALSE;"kontorchef";TRUE;1873;"finansministeriet";254
8382;"A. K. Bang";"A. K. Bang";TRUE;"kontorchef";FALSE;1873;"finansministeriet";89
6772;"Carl Ferdinand Hoegh-Guldberg";"C. F. Hoegh-Guldberg";FALSE;"fuldmægtig";TRUE;1873;"justitsministeriet";205
1686;"Peter Frederik Schou";"P. F. Schou";FALSE;"kontorchef";TRUE;1873;"indenrigsministeriet";329
6770;"O. Algreen-Ussing";"O. Algreen-Ussing";TRUE;"kontorchef";TRUE;1873;"justitsministeriet";282
